,title,date,content,link
0,Taiwan expects to deploy two new submarines by 2027 -security adviser By Reuters,"Published Sep 24, 2023 08:03PM ET","Position added successfully to: 
By Yimou LeeTAIPEI (Reuters) - Taiwan hopes to deploy at least two new, domestically developed submarines by 2027, and possibly equip later models with missiles, to strengthen deterrence against the Chinese navy and protect key supply lines, the head of the program said.Taiwan, which China claims as its own territory, has made the indigenous sub program a key part of an ambitious project to modernise its armed forces as Beijing stages almost daily military exercises to assert its sovereignty.President Tsai Ing-wen, who initiated the program when she took office in 2016, is expected to launch the first of eight new submarines on Thursday under a plan that has drawn on expertise and technology from several countries - a breakthrough for diplomatically isolated Taiwan.Admiral Huang Shu-kuang, Tsai's security adviser, who is leading the program, said a fleet of 10 submarines - which includes two Dutch-made submarines commissioned in the 1980s - will make it harder for the Chinese navy to project power into the Pacific.""If we can build up this combat capacity, I don't think we will lose a war,"" Huang this month told an internal briefing on the project, which was attended by Reuters.Huang said the first submarine, with a price tag of T$49.36 billion ($1.54 billion), will use a combat system by  Lockheed Martin  Corp (NYSE:LMT) and carry U.S.-made MK-48 heavyweight torpedoes. It will enter sea trials next month before delivery to the navy by the end of 2024.For subsequent models, Taiwan will leave space for submarine-launched anti-ship missiles, but adding those weapons depends on production availability in a U.S., where capacity was already tight, Huang said, without naming the companies that might be involved.He called the submarines a ""strategic deterrent"" to Chinese warships crossing the Miyako Strait near southwestern Japan or the Bashi Channel that separates Taiwan from the Philippines.Huang said Taiwan's diesel-electric submarines can keep China at bay within the first island chain, referring to the area that runs from Japan through Taiwan, the Philippines and on to Borneo, enclosing China's coastal seas.""This was also the strategic concept of the U.S. military - to contain them within the first island chain and deny their access,"" Huang said. ""If Taiwan is taken, Japan will definitely not be safe, South Korea will definitely not be safe.""China's defence ministry did not respond to a request for comment.The Chinese navy, including its Shandong aircraft carrier, has become increasingly active in recent months off Taiwan's eastern coastline, prompting worries that China could launch an attack from that direction. Eastern Taiwan is where planners have long envisioned the island's military regrouping and preserving its forces during a conflict.Huang said the submarines can help maintain the island's ""lifeline"" to the Pacific by keeping ports along Taiwan's eastern coast open for supplies in a conflict.""The submarines will keep their ships away from our eastern shores,"" he said.Chieh Chung, a military researcher at Taiwan's National Policy Foundation think tank, said the fleet would have trouble with that task, because China could position warships in the Pacific before launching an attack.But he added that the submarines could occupy strategic ambush points in the region and ""greatly harm (China's) combat ability"" by targeting high-value ships such as carrier groups or landing fleets.'GREAT HELP'Taiwan has quietly sourced technology, components and talent from at least seven nations to help it build submarines, a Reuters investigation has found. Getting foreign assistance was particularly challenging for Taiwan, which doesn't have official ties with most countries.Huang declined to say which countries had approved export permits, but said he had reached out to generals from countries that included the United States, Japan, South Korea and India.""For those foreign generals who agreed with my ideas, they helped convey the message to their governments or arrange meetings,"" he said. ""I told them our needs and that's how we achieved our purpose of securing export permits.""Huang also expressed thanks for the ""great help"" from a team led by an unnamed retired rear admiral of Britain's Royal Navy, who secured export permits from Britain through a Gibraltar-based company.Britain sharply increased the amount of submarine parts and technology exports approved last year for Taiwan, a Reuters analysis of the data showed. Huang described the program as ""even harder than reaching the sky,"" pointing to challenges such as a global chip shortage that hit many manufacturers around the world. He said his team scrambled to source chips from Taiwan to avoid delays by foreign vendors.A foreign supplier had also pull out at the last minute after the work with Taiwan was leaked to a Chinese embassy, he said, without elaborating.He said China's frequent military harassment, including close approaches to Taiwan's territorial waters and airspace, has prompted Taiwan and the United States to rethink the island's ""asymmetrical"" strategy of making its forces more mobile and harder to attack, with a focus on smaller weapons systems.""The American thinking is changing gradually. They realised that you can't withstand (the harassment) without bigger boats,"" Huang said, pointing to the navy's plan to build a new generation of bigger frigates.""They are getting closer and closer,"" he added, referring to China. ""Taiwan can't drive them out with small boats. We must use bigger boats.""($1 = 31.9840 Taiwan dollars)  
",https://www.investing.com/news/stock-market-news/taiwan-expects-to-deploy-two-new-submarines-by-2027-security-adviser-3181273
1,Renault to maintain mixed ethanol combustion engines in Brazil By Reuters,"Published Sep 22, 2023 05:30PM ETUpdated Sep 22, 2023 05:36PM ET","Position added successfully to: 
SAO PAULO (Reuters) -  Renault  (EPA:RENA) will maintain production of ethanol-fueled combustion vehicles in Brazil, where nine in 10 cars are equipped to run on a mixture of gasoline and the biofuel as fully electric vehicles (EVs) need more government support, the head of the French carmaker's Brazil branch said on Friday.""It still pays to invest in combustion in Brazil,"" top executive Ricardo Gondo said at an event, adding that the industry will need more federal incentives to accelerate its EV transition.Renault is wrapping up a $2 billion reais (over $400 million) investment in the country which includes a new vehicle platform to be produced in its Parana state industrial complex, that would allow the company to produce combustion engines in the facilities and ""allow electrification"", Gondo said.Renault did not say when it plans to manufacture electric cars in Brazil, and the only one it sells in the country - its China-made Kwid model, which according to the country's EV trade association, sold only two vehicles last month.Renault is planning to launch Brazilian sales of an electric version of its French-made Kangoo van in October, when it will also launch its Kardian combustion engine SUV, set to be manufactured locally.While Gondo defended Renault's plans for a ""transition period"" for electrification in Brazil, rivals such as Chinese automakers BYD (SZ:002594), Great Wall Motor Co Ltd, Chery and JAC are disrupting traditional local manufactures with fully electric models sold in Brazil. ""The combustion engine will continue to see improvements in energy efficiency,"" Gondo said, adding that the government should adopt quotas for electric cars tax-free imports to protect local manufacturers that face highly equipped products imported from China that have competitive prices.Earlier this month, Renault CEO Luca de Meo warned a ""very competitive"" industry in China and that it will need to ""catch up fast"". The company is planning to spin-off its EV unit together with partners Qualcomm (NASDAQ:QCOM) and Nissan (OTC:NSANY).Meanwhile, the government of Brazilian President Luiz Inacio Lula da Silva has placed an emphasis on fighting climate change and reversing policies enacted by his predecessor, Jair Bolsonaro.($1 = 4.9256 reais)  
",https://www.investing.com/news/stock-market-news/renault-to-maintain-mixed-ethanol-combustion-engines-in-brazil-3180929
2,"Even China's 1.4 billion population can't fill all its vacant homes, former official says By Reuters","Published Sep 23, 2023 07:38AM ETUpdated Sep 23, 2023 09:20AM ET","Position added successfully to: 
BEIJING (Reuters) - Even China's population of 1.4 billion would not be enough to fill all the empty apartments littered across the country, a former official said on Saturday, in a rare public critique of the country's crisis-hit property market. China's property sector, once the pillar of the economy, has slumped since 2021 when real estate giant China  Evergrande  (HK:3333) Group defaulted on its debt obligations following a clampdown on new borrowing. Big-name developers such as Country Garden Holdings continue to teeter close to default even to this day, keeping home-buyer sentiment depressed.As of the end of August, the combined floor area of unsold homes stood at 648 million square metres (7 billion square feet), the latest data from the National Bureau of Statistics (NBS) show. That would be equal to 7.2 million homes, according to Reuters calculations, based on the average home size of 90 square metres.That does not count the numerous residential projects that have already been sold but not yet completed due to cash-flow problems, or the multiple homes purchased by speculators in the last market upturn in 2016 that remain vacant, which together make up the bulk of unused space, experts estimate.""How many vacant homes are there now? Each expert gives a very different number, with the most extreme believing the current number of vacant homes are enough for 3 billion people,"" said He Keng, 81, a former deputy head of the statistics bureau.""That estimate might be a bit much, but 1.4 billion people probably can't fill them,"" He said at a forum in the southern Chinese city Dongguan, according to a video released by the official media China News Service.His negative view of the economically significant sector at a public forum stands in sharp contrast to the official narrative that the Chinese economy is ""resilient"". ""All sorts of comments predicting the collapse of China's economy keep surfacing every now and then, but what has collapsed is such rhetoric, not China's economy,"" a spokesperson at the foreign ministry said at a recent news conference.  
",https://www.investing.com/news/stock-market-news/even-chinas-14-billion-population-cant-fill-all-its-vacant-homes--former-official-3180995
3,"US employment commission sues UPS, alleging discrimination against deaf driver candidates By Reuters","Published Sep 22, 2023 05:52PM ETUpdated Sep 22, 2023 07:50PM ET","Position added successfully to: 
(Reuters) -The U.S. Equal Employment Opportunity Commission (EEOC) on Friday said it sued  United Parcel  Service (NYSE:UPS) for disability discrimination, alleging the delivery firm refused to hire deaf or hearing-impaired individuals as drivers.The agency said the Department of Transportation (DOT) has authorized the practice of employing those individuals to drive vehicles weighing more than 10,000 pounds through a program that exempts them from a hearing test and instead uses alternative criteria to ensure an equivalent level of driver safety. Atlanta-based UPS said it is modifying driver training for those who are deaf and hard of hearing and would start accepting exemptions to the DOT commercial driver hearing standard for operators of its ubiquitous brown delivery trucks in January 2024. UPS said training is necessary because ""current regulations do not consider best practices for driving larger commercial vehicles that make frequent stops in residential neighborhoods, or other significant factors UPS considers as it works to help keep its drivers and communities safe."" EEOC said it sued the world's largest parcel delivery firm under the Americans with Disabilities Act (ADA) after failing to reach a pre-litigation settlement.""Just because someone is deaf does not mean they cannot drive safely,"" said Gregory Gochanour, EEOC's regional attorney in Chicago. The case, EEOC v. UPS, Civil Action No. 1:23-cv-14021, was filed in U.S. District Court for the Northern District of Illinois. 
",https://www.investing.com/news/stock-market-news/eeoc-sues-ups-for-disability-discrimination-in-hiring-3180933#comments
4,Pennsylvania doubles Amtrak service with $200m infrastructure investment By Investing.com,"Published Sep 22, 2023 05:06PM ET","Position added successfully to: 
Pennsylvania Governor Josh Shapiro announced an expansion of Amtrak's New York City-Harrisburg-Pittsburgh service on Friday, doubling its frequency from once to twice daily. The expansion is a result of an agreement between the Pennsylvania Department of Transportation (PennDOT) and  Norfolk Southern  Corporation (NYSE:NSC), and will be facilitated by a $200 million investment from the commonwealth.The agreement aims to enhance passenger rail service in Western Pennsylvania while preserving a critical freight rail corridor. ""This agreement lays the groundwork for expanded passenger rail service in Western Pennsylvania,"" said PennDOT Secretary Mike Carroll. He further emphasized that the agreement would provide key mobility and economic benefits by reducing commute times, connecting hundreds of thousands of residents, and boosting local economies.The commonwealth's investment will be directed towards ""infrastructure and safety improvements"" built and maintained by Norfolk Southern. These include upgraded rail lines, sidings, and necessary communications signals infrastructure. PennDOT has also applied for grant funds through the Federal Railroad Administration to help finance these improvements.Supporters of the agreement believe it aligns with statewide aspirations for expanding passenger rail. Senator Wayne Langerholc, R-Clearfield and chair of the Senate Transportation Committee, praised the announcement, noting that it keeps Pennsylvania on course to achieving more rail service for western Pennsylvanians, a goal he prioritized upon election.In addition to serving more Pennsylvanians with modern, reliable passenger rail, this expansion is expected to connect Pennsylvania communities and stimulate job creation, economic development, and infrastructure investment. The move is seen as a win-win for business and passengers alike.In related developments across the state, the Schuylkill River Passenger Rail Authority in eastern Pennsylvania awaits news from the Federal Railroad Administration regarding a $500,000 grant to plan for a potential route between Philadelphia and Reading.This article was generated with the support of AI and reviewed by an editor. For more information see our T&C.",https://www.investing.com/news/stock-market-news/pennsylvania-doubles-amtrak-service-with-200m-infrastructure-investment-93CH-3180918
5,Arm Holdings' debut on NYSE met with caution by analysts By Investing.com,"Published Sep 22, 2023 05:14PM ET"," Arm  Holdings (NASDAQ:ARM), the chip-design company, made its debut on the New York Stock Exchange (NYSE) recently, experiencing an initial surge in share price before settling close to its listing price. However, financial analysts from Susquehanna Financial Group, Christopher Rolland and Mehdi Hosseini, have urged investors to exercise caution as they believe the company's stock is currently appropriately valued.On Friday, Arm Holdings' shares fell by 1.7% to $51.32, a significant decrease from their peak of over $60 per share reached shortly after the company's initial public offering (IPO). The IPO was priced at $51 a share.Rolland and Hosseini initiated their coverage of Arm with a neutral rating, setting a share-price target of $48. This target was calculated based on an enterprise value that is 15 times Arm's forecast sales for 2024. Despite the company's role in advancing artificial intelligence (AI), the analysts identified several challenges that might affect its market performance.The primary concern raised by the analysts is the sluggish growth in mobile handsets, currently the largest market for Arm's chip designs. They suggested that these circumstances might necessitate Arm to increase its royalty rates and diversify into new sectors in order to justify its premium valuation.The analysts also pointed out potential risks associated with expanding royalty rates for core customers and margin contraction linked to additional revenue streams. As a result of these factors, Rolland and Hosseini concluded that Arm Holdings should trade at a valuation discount compared to its stock performance over the past decade.This article was generated with the support of AI and reviewed by an editor. For more information see our T&C.",https://www.investing.com/news/stock-market-news/arm-holdings-debut-on-nyse-met-with-caution-by-analysts-93CH-3180920
6,"UAW strikes more GM, Stellantis facilities, cites progress in talks with Ford By Reuters","Published Sep 22, 2023 01:03AM ETUpdated Sep 22, 2023 11:21PM ET","Position added successfully to: 
Position added successfully to: 
Position added successfully to: 
Position added successfully to: 
By David Shepardson and Joseph WhiteDETROIT (Reuters) -The United Auto Workers expanded its strikes against Detroit automakers General Motors (NYSE:GM) and Chrysler parent Stellantis (NYSE:STLA), but kept its Ford (NYSE:F) walkout limited to a single plant due to progress made in talks, the union said on Friday. The auto workers' union began strikes at noon EDT (1600 GMT) on Friday against 38 parts distribution centers across the United States at GM and Stellantis, extending its unprecedented, simultaneous strikes that began with one assembly plant each of the Detroit Three. The additional facilities added about 5,600 workers to the 12,700 already on strike.UAW President Shawn Fain said in a Facebook (NASDAQ:META) live event that by targeting distribution centers the strike becomes a nationwide event. He said he expected talks to continue through the weekend.Hours after Fain invited President Joe Biden to visit a picket line, Biden said in a social media post on X, formerly known as Twitter, that he would come to Michigan on Tuesday ""to join the picket line and stand in solidarity with the men and women of UAW."" He added: ""It’s time for a win-win agreement that keeps American auto manufacturing thriving with well-paid UAW jobs."" The president has been vocal in his support for the union's demands for better pay and benefits. Former President Donald Trump, who is seeking a new term, will be in Michigan on Wednesday to address auto workers, his campaign said.Fain said the decision on the expanded strike would impact consumers trying to obtain repair parts. The distribution centers are warehouses that ship parts to dealers and other retailers for use in repairs. ""We will be everywhere from California to Massachusetts, from Oregon to Florida."" At a GM parts distribution center outside Philadelphia, picketing workers said the strike will result in cars sitting longer for repairs but that is the only way to get the higher wages they seek.""If you look at the past few years, car prices went up 30% but our wages went up 6%. We are not the problem,"" said Thomas Morris, 60, who has worked at the center in Langhorne, Pennsylvania, for the past four decades. ""I understand it’s going to cost some pain for people, but we are just looking for fairness.""Fain said they have more work to do at Ford, but ""we do want to recognize that Ford is showing they're serious about reaching a deal."" He added: ""Stellantis and GM in particular are going to need some serious pushing."" He also threatened more action at Stellantis' critical parts plants in his hometown of Kokomo, Indiana. Stellantis has four factories in Kokomo that make engines and transmissions used widely across the automaker's product line. Stellantis has said it wants to be able to consolidate and close some of its parts distribution centers.Fain said Ford had improved its contract offer, including boosting profit sharing and agreeing to let workers strike over plant closures but said the union still has ""serious issues"" with Ford. GM said in a statement that UAW leaders are ""manipulating the bargaining process for their own personal agendas"" and called the strike escalation ""unnecessary."" Stellantis said on Thursday it made a ""very competitive offer"" and said the union's leadership seems ""more concerned about pursuing their own political agendas.""GM, which said it had contingency plans it did not specify to protect its business and customers, said it has made five separate offers to the union.Ford said it is continuing to negotiate, adding that ""we have more work ahead of us before we can reach an agreement."" Nearly 13,000 UAW workers walked out at plants in Missouri, Michigan and Ohio on Sept 15. Those plants produce the Ford Bronco, Jeep Wrangler and Chevrolet Colorado, alongside other popular models. But Ford and Canadian union Unifor reached a last-minute deal to avoid a walkout on Tuesday. Unifor's Ford leadership unanimously endorsed the tentative agreement late on Friday. Ratification meetings for members were set for Saturday, Unifor said.Wedbush Analyst Daniel Ives said this latest move by the UAW marks a divergence in the talks with the automakers.""The current deal is a torpedo to the business models of the Detroit 3,"" he said. ""To take a deal just to avoid a strike and get it done is great for the next 24 hours but a nightmare for the next 30 years.""Sam Fiorani, vice president of global vehicle forecasting at AutoForecast Solutions, said Ford's family-controlled structure gives it a different focus than the other two. ""GM and Stellantis are looking at stockholder value and Ford is looking a lot more long-term that they have to make friends with labor."" The standoff is fueling worries about prolonged industrial action that could disrupt production and dent U.S. economic growth. A Reuters/Ipsos poll released on Thursday showed significant support by Americans for the striking auto workers.The automakers have proposed 20% raises over 4-1/2 years, while the UAW is seeking 40%.The union also wants to eliminate wage gaps separating newer and older employees, as well as workers in certain component operations and those in assembly plants. Fain said on Friday that the union had negotiated the elimination of lower wage tiers in some components facilities at Ford and GM. But Stellantis has not agreed to raise wages at its MOPAR component operations, Fain said. 
",https://www.investing.com/news/stock-market-news/detroit-three-automakers-enter-final-hours-to-avoid-wider-uaw-strike-3180170#comments
7,Supermarket franchisee Spinneys Dubai plans IPO in 2024 By Reuters,"Published Sep 24, 2023 06:43AM ETUpdated Sep 24, 2023 01:10PM ET","Position added successfully to: 
By Hadeel Al Sayegh(Reuters) - Spinneys Dubai LLC, the franchisee of the supermarket chain in the United Arab Emirates and Oman, is planning an initial public offering of the business in the second quarter of 2024, three sources with direct knowledge of the matter said.Albwardy Investment, the franchise's 100% owner, hired Rothschild & Co to advise on the planned IPO, the sources said, requesting anonymity as the plans are not public.It invited banks this week to pitch for roles in the offering, expected to be up to 30% of the company, the sources added.Spinneys, Albwardy and Rothschild did not immediately respond to Reuters' requests for comment.The potential IPO of Spinneys Dubai, planned on the Dubai Financial Market, would add to the small but growing regional food retail sector.Americana Restaurants, the Middle East and North Africa franchisee of fast food restaurants KFC and Pizza Hut, as well as a seller of frozen foods, debuted in a dual listing in Abu Dhabi and Riyadh in December.Lulu Group, a hypermarket and mall operator, expects its IPO in the first half of 2024, its chairman said earlier this month, adding that it hired Moelis (NYSE:MC) & Co to advise it, confirming an October 2022 Reuters report.IPO activity in the Gulf is expected to pick up after the pace slowed from an exceptional 2022, when Saudi Arabia and the UAE led new listings, raising nearly $22 billion - more than half the total for the wider Europe, Middle East and Africa region, Dealogic data shows.Middle Eastern companies still raised $5.3 billion in the first half of this year through 23 market debuts.Spinneys Dubai operates more than 65 stores across the UAE, its website says. In addition, it operates at least seven stores in Oman, Albwardy's website says.Albwardy, which says it has annual turnover above $1 billion, also owns the franchise rights to upmarket British supermarket chain Waitrose.Founded in the mid-1970s, it has a hospitality portfolio that includes several Four Seasons hotels and food distribution investments that include Nestle UAE.Other sectors in Albwardy's portfolio are industrial and engineering, commercial and insurance, agribusiness and properties.  
",https://www.investing.com/news/stock-market-news/supermarket-franchisee-spinneys-dubai-plans-ipo-in-2024-3181215
8,US Supreme Court extends pause on order curbing Biden social media contacts By Reuters,"Published Sep 22, 2023 04:28PM ETUpdated Sep 22, 2023 05:05PM ET","By Nate Raymond and Andrew Chung(Reuters) - U.S. Supreme Court Justice Samuel Alito on Friday extended a temporary block on an order restricting the ability of President Joe Biden's administration to encourage social media companies to remove content it deemed misinformation about COVID-19 and other matters of public concern.The decision to keep the matter on hold until Wednesday gives the court more time to consider the administration's request to block an injunction issued by a lower court that had concluded that federal officials likely had violated the free speech protections of the U.S. Constitution's First Amendment by coercing social media platforms into censoring certain posts.Alito's order pauses the dispute until Sept. 27 at 11:59 p.m. EDT. He had previously halted the lower court's rulingthrough Sept. 22. Alito is the justice designated by the court to act on certain matters arising from a group of states that include Louisiana, where the lawsuit was first filed.The Republican attorneys general of Missouri and Louisiana and a group of social media users sued federal officials, accusing them of unlawfully helping suppress conservative-leaning constitutionally protected speech on major social medial platforms.Those platforms included Meta's Facebook (NASDAQ:META), Alphabet (NASDAQ:GOOGL)'s YouTube and X, formerly called Twitter. Many of the posts expressed opinions that federal officials said constituted misinformation about the pandemic.The Biden administration argued that officials did nothing illegal and had sought to mitigate the hazards of online misinformation by alerting social media companies to content that violated their own policies.Louisiana-based U.S. District Judge Terry Doughty in July concluded that government officials had coercively pressured the companies to suppress posts by users that expressed views that were against COVID-19 vaccines, pandemic-related lockdowns intended as public health measures or that questioned the results of the 2020 election in which Biden, a Democrat, defeated Donald Trump, a Republican.The New Orleans-based 5th U.S. Circuit Court of Appeals vacated much of an injunction that Doughty issued restricting the administration's social media communications, with the exception of a provision concerning coercion, which they narrowed.The narrowed injunction applied to the White House, the surgeon general, the U.S. Centers for Disease Control and Prevention and the FBI, saying they could not ""coerce or significantly encourage"" the companies to remove content.The administration told the Supreme Court that the remaining injunction still went too far and would interfere with how the White House, FBI and health officials address matters of public concern and security.  
",https://www.investing.com/news/stock-market-news/us-supreme-court-extends-pause-on-order-curbing-biden-social-media-contacts-3180898#comments
9,"Factbox-US government shutdown: What closes, what stays open? By Reuters","Published Sep 21, 2023 02:23PM ETUpdated Sep 23, 2023 02:30PM ET","Position added successfully to: 
Position added successfully to: 
Position added successfully to: 
(Reuters) -U.S. government services would be disrupted and hundreds of thousands of federal workers furloughed without pay if Congress fails to provide funding for the fiscal year starting Oct. 1. Workers deemed ""essential"" would remain on the job, but without pay.Many government agencies have not updated shutdown plans they have prepared in the past. Here is a guide to what would stay open and what would shut down:MILITARYThe 2 million U.S. military personnel would remain at their posts, but roughly half of the Pentagon's 800,000 civilian employees would be furloughed.Contracts awarded before the shutdown would continue, and the Pentagon could place new orders for supplies or services needed to protect national security. Other new contracts, including renewals or extensions, would not be awarded. Payments to defense contractors such as Boeing (NYSE:BA),  Lockheed Martin  (NYSE:LMT) and RTX, formerly known as Raytheon (NYSE:RTN), could be delayed.The Department of Energy's National Nuclear Security Administration would continue maintaining nuclear weapons.LAW ENFORCEMENTAccording to the Justice Department's 2021 contingency plan, agents at the FBI, the Drug Enforcement Administration (DEA) and other federal law enforcement agencies would remain on the job, and prison staffers would continue to work.Criminal prosecutions, including the two federal cases against former President Donald Trump, would continue. Most civil litigation would be postponed.Aid to local police departments and other grants could be delayed.Border Patrol and immigration enforcement agents would continue to work, as would customs officers, according to the Department of Homeland Security's 2022 plan. The Secret Service and the Coast Guard would also continue operations.Most of the Federal Trade Commission's consumer-protection workers would be furloughed, as would half of its antitrust employees.FEDERAL COURTSFederal courts have enough money to stay open until at least Oct. 13. Activities might be scaled back after that point. The Supreme Court would stay open as well.TRANSPORTATIONAirport security screeners and air-traffic control workers would be required to work, according to recent contingency plans, though absenteeism could be a problem. Some airports had to suspend operations during a shutdown in 2019 when traffic controllers called in sick.Training for new air traffic controllers would stop, which Transportation Secretary Pete Buttigieg has warned could worsen a shortage of qualified workers.Some major infrastructure projects could face delays as environmental reviews and permitting would be disrupted, according to the White House.FOREIGN AFFAIRSU.S. embassies and consulates would remain open under the State Department's 2022 shutdown plan. Passport and visa processing would continue as long as there were sufficient fees to cover operations. Nonessential official travel, speeches and other events would be curtailed.Some foreign aid programs could run out of money as well.NATIONAL PARKS AND NATURAL RESOURCESIt's not clear how national parks, national monuments and other sites would be affected. Many remained open during a 2018-2019 shutdown, through restrooms and information desks were closed and waste disposal was halted. They were closed during a 2013 shutdown.Wildfire fighting efforts would continue, according to the Agriculture Department's 2020 contingency plan, though timber sales on national forest lands would be curtailed and fewer recreation permits would be issued.SCIENCEScientific research would be disrupted as agencies like the National Institutes of Health, the National Science Foundation and the National Oceanographic and Atmospheric Administration (NOAA) would furlough most of their workers, according to recent contingency plans.The National Aeronautics and Space Administration (NASA) would continue to support the International Space Station and track satellites, but 17,000 of its 18,300 employees would be furloughed.Weather forecasts and fisheries regulation would continue, as would patent and trademark reviews. Tests of new drugs and medical devices would continue.HEALTHThe Centers for Disease Control and Prevention (CDC) would continue to monitor disease outbreaks, though other public health activities could suffer as more than half of the agency's workers would be furloughed.The National Institutes of Health would furlough most of its staff and delay new clinical trials for medical treatments.Healthcare services for veterans and Native Americans would continue.Most inspections of hazardous waste sites and drinking water and chemical facilities would stop.Food-safety inspections by the Food and Drug Administration (FDA) could be delayed.FINANCIAL REGULATIONThe Securities and Exchange Commission (SEC) would furlough roughly 90% of its 4,600 employees and suspend most activities, leaving only a skeleton staff to respond to emergencies.Likewise, the Commodities and Futures Trading Commission (CFTC) would furlough almost all of its employees and cease oversight, enforcement and regulation, according to its 2021 plan.The Federal Reserve, the Federal Deposit Insurance Corporation (FDIC) and the Office of the Comptroller of the Currency would continue as normal, as they are funded by industry fees rather than congressional appropriations.ECONOMIC DATAImportant economic data reports from the Labor Department's Bureau of Labor Statistics would be suspended, including the monthly unemployment report, due out on Oct. 6, and price reports due the following week. Reports from the Commerce Department's Bureau of Economic Analysis and the Census Bureau could be suspended as well, including retail sales and housing starts.SOCIAL SECURITY, MEDICARE AND OTHER BENEFITSThe Social Security Administration would continue to issue retirement and disability benefits, and payments would continue under the Medicare and Medicaid health programs.Military veterans' benefits would also continue, according to a 2021 contingency plan.Food assistance administered through the Supplemental Nutrition Assistance Program could be affected, as grocery stores would not be able to renew their licenses.TAX COLLECTIONThe Internal Revenue Service (IRS) would operate as normal, and all 83,000 employees would continue to be paid because the agency's funding would not expire.DISASTER RESPONSEThe Federal Emergency Management Agency (FEMA) would risk running out of funds for disaster relief and long-term recovery projects.EDUCATIONPell Grants and student loans would continue to be paid, but could be disrupted as most Education Department employees would be furloughed, according to the agency's 2021 plan.A protracted shutdown could ""severely curtail"" aid to schools, universities and other educational institutions, the department says. It also could delay funds that are due to be awarded later in the year.CHILD CAREAccording to the White House, 10,000 children from low-income families would lose access to the Head Start preschool program.SMALL BUSINESS SUPPORTThe Small Business Administration would not be able to issue any new loans, though loans for businesses hurt by natural disasters would continue.LABORWorkplace safety inspections would be limited and investigations into unfair pay practices would be suspended, according to the White House.The ability of the National Labor Relations Board (NLRB) to mediate labor disputes would be curtailed because almost all of its 1,200 employees would be furloughed, according to a 2022 plan.WHITE HOUSEIn the 2018-2019 shutdown, the White House furloughed 1,100 of 1,800 staff in the Executive Office of the President. Some offices, such as the National Security Council, continued at full strength, while others like the Office of Management and Budget (OMB) were scaled back sharply.White House furloughs could make it harder to comply with the impeachment investigation of President Joe Biden, a Democrat, by Republicans in the House of Representatives.MAIL DELIVERYThe U.S. Postal Service (USPS) would be unaffected as it does not depend on Congress for funding. 
",https://www.investing.com/news/stock-market-news/factboxus-government-shutdown-what-closes-what-stays-open-3179901
